sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
BR646,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Black Red Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-red-frame,Black Red Frame,Black Red Frame,Black Red Frame ,/1/_/1.75_black_red.png,,/1/_/1.75_black_red.png,,/1/_/1.75_black_red.png,,/1/_/1.75_black_red.png,,8/14/17 5:33 AM,8/14/17 5:33 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""58""",99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.75_black_red.png,,,,,,,,,
GW4343,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Groove White Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,groove-white-frame,Groove White Frame,Groove White Frame,Groove White Frame ,/1/_/1.5_groove_white.png,,/1/_/1.5_groove_white.png,,/1/_/1.5_groove_white.png,,/1/_/1.5_groove_white.png,,8/14/17 7:42 AM,8/14/17 7:42 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""61""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.5_groove_white.png,,,,,,,,,
SB747,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Square Black Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,square-black-frame,Square Black Frame,Square Black Frame,Square Black Frame ,/1/_/1.25_square_black.png,,/1/_/1.25_square_black.png,,/1/_/1.25_square_black.png,,/1/_/1.25_square_black.png,,8/14/17 7:44 AM,8/14/17 7:44 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""47""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.25_square_black.png,,,,,,,,,
SB6464,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Square Brown Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,Square-brown-frame,Square Brown Frame,Square Brown Frame,Square Brown Frame ,/1/_/1.25_square_bown.png,,/1/_/1.25_square_bown.png,,/1/_/1.25_square_bown.png,,/1/_/1.25_square_bown.png,,8/14/17 7:45 AM,8/14/17 7:45 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""46""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.25_square_bown.png,,,,,,,,,
BB7623,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Black Blue  Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-blue-frame,Black Blue  Frame,Black Blue  Frame,Black Blue  Frame ,/1/_/1.75_black_blue.png,,/1/_/1.75_black_blue.png,,/1/_/1.75_black_blue.png,,/1/_/1.75_black_blue.png,,8/14/17 7:47 AM,8/14/17 7:47 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""52""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.75_black_blue.png,,,,,,,,,
BO646,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Black Orange Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-orange-frame,Black Orange Frame,Black Orange Frame,Black Orange Frame ,/1/_/1.75_black_orange.png,,/1/_/1.75_black_orange.png,,/1/_/1.75_black_orange.png,,/1/_/1.75_black_orange.png,,8/14/17 7:48 AM,8/14/17 7:48 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""49""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.75_black_orange.png,,,,,,,,,
BY646,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Black Yellow Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-yellow-frame,Black Yellow Frame,Black Yellow Frame,Black Yellow Frame ,/1/_/1.75_black_yellow.png,,/1/_/1.75_black_yellow.png,,/1/_/1.75_black_yellow.png,,/1/_/1.75_black_yellow.png,,8/14/17 7:50 AM,8/14/17 7:50 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""56""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.75_black_yellow.png,,,,,,,,,
GB777,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Glossy Blue Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,glossy-blue-frame,Glossy Blue Frame,Glossy Blue Frame,Glossy Blue Frame ,/g/l/glossy_blue.png,,/g/l/glossy_blue.png,,/g/l/glossy_blue.png,,/g/l/glossy_blue.png,,8/14/17 8:01 AM,8/14/17 8:01 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""35""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/l/glossy_blue.png,,,,,,,,,
GR5645,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Glossy Red Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,glossy-red-frame,Glossy Red Frame,Glossy Red Frame,Glossy Red Frame ,/g/l/glossy_red.png,,/g/l/glossy_red.png,,/g/l/glossy_red.png,,/g/l/glossy_red.png,,8/14/17 8:02 AM,8/14/17 8:02 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""33""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/l/glossy_red.png,,,,,,,,,
GS84578,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Glossy Silver Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,glossy-silver-frame,Glossy Silver Frame,Glossy Silver Frame,Glossy Silver Frame ,/g/l/glossy_silver.png,,/g/l/glossy_silver.png,,/g/l/glossy_silver.png,,/g/l/glossy_silver.png,,8/14/17 8:04 AM,8/14/17 8:04 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""32""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/g/l/glossy_silver.png,,,,,,,,,
SW333,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Square White Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,square-white-frame,Square White Frame,Square White Frame,Square White Frame ,/s/q/square_white.png,,/s/q/square_white.png,,/s/q/square_white.png,,/s/q/square_white.png,,8/14/17 8:19 AM,8/14/17 8:19 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""62""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/s/q/square_white.png,,,,,,,,,
SYF3434,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Solid Yellow Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,solid-yellow-frame,Solid Yellow Frame,Solid Yellow Frame,Solid Yellow Frame ,/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,/1/_/1.0_solid_yellow.png,,8/14/17 7:41 AM,8/14/17 7:41 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_yellow.png,,,,,,,,,
SO64645,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Solid Orange Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,solid-orange-frame,Solid Orange Frame,Solid Orange Frame,Solid Orange Frame ,/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,/1/_/1.0_solid_orange.png,,8/14/17 7:37 AM,8/14/17 7:37 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_orange.png,,,,,,,,,
SG545,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Solid Green Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,solid-green-frame,Solid Green Frame,Solid Green Frame,Solid Green Frame ,/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,/1/_/1.0_solid_green_1.png,,8/14/17 7:34 AM,8/14/17 7:34 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""43""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_green_1.png,,,,,,,,,
BC5454,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Black Concave Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-concave-frame,Black Concave Frame,Black Concave Frame,Black Concave Frame ,/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,/1/_/1.0_black_concave_1.png,,8/14/17 6:43 AM,8/14/17 6:43 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""33""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_black_concave_1.png,,,,,,,,,
SP444,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Solid Pink Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,solid-pink-frame,Solid Pink Frame,Solid Pink Frame,Solid Pink Frame ,/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,/1/_/1.0_solid_pink.png,,8/14/17 6:44 AM,8/14/17 6:44 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""32""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.0_solid_pink.png,,,,,,,,,
BS863,,Default,simple,"Default Category/Frames,Default Category/Frames/Metal Frame",base,Black Silver Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,black-silver-frame,Black Silver Frame,Black Silver Frame,Black Silver Frame ,/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,/1/_/1.5_black_and_silver.png,,8/14/17 6:47 AM,8/14/17 6:47 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""44""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.5_black_and_silver.png,,,,,,,,,
OG747,,Default,simple,"Default Category/Frames,Default Category/Frames/Wooden Frame",base,Ornate Gold Frame,,,12,1,Taxable Goods,"Catalog, Search",149.99,,,,ornate-gold-frame,Ornate Gold Frame,Ornate Gold Frame,Ornate Gold Frame ,/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,/1/_/1.5_ornate_gold.png,,8/14/17 6:49 AM,8/14/17 6:49 AM,8/13/17,,Block after Info Column,,,,Use config,,,,,,,,,"frame_width=""42""",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/_/1.5_ornate_gold.png,,,,,,,,,
